Dijkstra             Genetic
result time          result time
1394.0 0.642999887466 1437.0 0.723000049591
1394.0 0.68499994278 1191.0 1.20650005341
1394.0 0.677333275477 1737.0 1.69933342934
1394.0 0.671499967575 1311.0 1.59325009584
1394.0 0.668399953842 904.0 1.45520009995
1394.0 0.665999968847 1733.0 1.50300010045
1394.0 0.662857123784 1390.0 1.42957152639
219.0 0.669000148773 364.0 2.67199993134
219.0 0.675500154495 208.0 1.49899995327
219.0 0.674666802088 313.0 1.17499995232
219.0 0.673000097275 204.0 1.03674995899
219.0 0.672800064087 208.0 1.10639996529
219.0 0.672666708628 372.0 0.985833326976
219.0 0.673285756792 219.0 0.957857131958
1042.0 0.666999816895 2189.0 12.362000227
1042.0 0.666000008583 1569.0 12.4000000954
1042.0 0.668666680654 2270.0 8.9746667544
1042.0 0.663999974728 2270.0 29.4880000949
1042.0 0.660999965668 1351.0 25.4004000664
1042.0 0.660333275795 1585.0 21.6993333896
1042.0 0.658999953951 1413.0 19.5121429307
500.0 0.664999961853 588.0 1.43899989128
500.0 0.666499972343 588.0 1.40299999714
500.0 0.667333364487 588.0 1.4673333168
500.0 0.669499993324 588.0 1.27825003862
500.0 0.670599985123 558.0 1.07480006218
500.0 0.669666647911 588.0 1.09150004387
500.0 0.669142859323 588.0 0.985714333398
821.0 0.670000076294 1515.0 2.05999994278
821.0 0.666500091553 809.0 1.77950000763
821.0 0.700000047684 1131.0 1.55599999428
821.0 0.690250039101 710.0 1.61724996567
821.0 0.683800029755 2037.0 1.66359996796
821.0 0.680499990781 1198.0 3.34883332253
821.0 0.678571428571 1269.0 3.2131428378
51.0 0.674999952316 157.0 0.171999931335
51.0 0.674499988556 51.0 0.157999992371
51.0 0.676333347956 51.0 0.167333285014
51.0 0.677500009537 51.0 0.147499978542
51.0 0.677600002289 51.0 0.147200012207
51.0 0.676500002543 51.0 0.149333318075
51.0 0.676571437291 51.0 0.14771427427
507.0 0.677999973297 524.0 1.35000014305
507.0 0.734499931335 650.0 1.04250013828
507.0 0.712999979655 1258.0 1.01000006994
507.0 0.702999949455 941.0 1.07700008154
507.0 0.699199962616 933.0 1.00860009193
507.0 0.695833325386 431.0 1.04300006231
507.0 0.692857129233 423.0 1.01028578622
